117	73920	58	32
118	74257	1199	71
119	77913	100	46
120	78472	76	26
121	78828	7	6
122	78887	36	16
123	79100	256	88
124	80308	343	133
125	82030	45	26
126	82311	86	23
127	82674	38	18
128	82875	59	19
129	83175	1	1
130	83188	23	12
131	83327	143	78
132	84105	45	29
133	84382	81	44
134	84830	119	96
135	85595	237	104
136	86770	656	235
137	89673	278	174
138	91179	56	26
139	91469	143	57
140	92203	157	67
141	93013	121	37
142	93621	79	53
143	94120	118	45
144	94669	25	14
145	94815	117	45
146	95385	259	122
147	96670	164	46
148	97457	73	47
149	97910	92	31
150	98359	1	1
151	98372	28	4
152	98480	3	1
153	98496	42	33
154	98755	443	120
155	100682	308	109
156	102148	126	73
157	102817	1	1
158	102828	27	22
159	103020	211	69
160	104028	57	29
161	104363	70	43
162	104754	136	87
163	105561	64	39
164	105945	70	36
165	106312	135	65
166	107018	1	1
167	107030	514	91
168	108877	391	127
169	110531	7	6
170	110587	1	1
171	110599	405	195
172	112483	59	38
173	112849	66	32
174	113187	60	36
175	113540	237	63
176	114462	2	2
177	114484	67	24
178	114785	98	32
179	115302	152	73
180	116142	3	3
181	116172	151	42
182	116898	62	30
183	117217	27	23
184	117407	156	79
185	118228	196	117
186	119294	1689	107
187	124161	17	15
188	124290	14	6
189	124374	102	50
190	124907	239	128
191	126230	2	2
192	126250	379	214
193	128330	169	118
194	129362	164	30
195	130004	366	145
196	131643	1	1
197	131654	1	1
198	131666	7	1
199	131694	62	33
200	132020	75	42
201	132465	253	62
202	133649	39	27
203	133884	30	12
204	134037	9	8
205	134107	53	24
206	134376	577	219
207	137010	60	44
208	137364	53	34
209	137688	1	1
210	137700	283	108
211	139065	126	61
212	139758	57	40
213	140128	51	30
214	140433	243	91
215	141638	99	20
216	142020	145	73
217	142809	71	42
218	143223	64	19
219	143499	467	109
220	145454	93	38
221	145915	378	72
222	147319	39	30
223	147585	190	90
224	148581	207	58
225	149475	381	128
226	151251	182	69
227	152203	1069	265
228	156487	257	71
229	157630	14	6
230	157706	1	1
231	157718	4	3
232	157751	304	67
233	159031	91	35
234	159489	19	13
235	159613	93	14
236	159950	64	13
237	160235	93	2
238	160509	53	11
239	160729	120	57
240	161404	269	76
241	162518	37	25
242	162758	125	53
243	163421	42	7
244	163595	4	4
245	163631	61	6
246	163859	35	17
247	164067	32	15
248	164256	18	13
249	164379	220	32
250	165202	15	9
251	165306	476	42
252	166693	29	22
253	166901	17	10
254	167004	131	56
255	167670	47	21
256	167934	13	10
257	168030	1	1
258	168043	90	44
259	168525	161	75
260	169345	74	16
261	169642	65	14
262	169915	29	6
263	170033	15	13
264	170151	19	11
265	170267	62	38
266	170648	4	4
267	170690	284	44
268	171768	62	22
269	172080	203	81
270	173066	33	29
271	173308	115	49
272	173908	129	33
273	174382	31	17
274	174556	28	9
275	174695	54	31
276	175018	17	10
277	175129	128	54
278	175802	36	21
279	176027	69	5
280	176255	15	10
281	176356	3	2
282	176381	132	66
283	177111	7	5
284	177164	44	26
285	177430	7	6
286	177487	15	7
287	177574	1	1
288	177587	82	50
289	178072	8	7
290	178141	23	3
291	178241	20	6
292	178334	358	92
293	179858	221	104
294	181018	26	19
295	181204	5	4
296	181242	9	7
297	181312	33	8
298	181462	36	16
299	181670	5	4
300	181714	12	4
301	181786	3	2
302	181813	260	119
303	183172	294	100
304	184498	381	88
305	186038	75	31
306	186409	594	112
307	188426	2	1
308	188441	41	21
309	188678	15	11
310	188790	332	76
311	190190	280	103
312	191569	35	25
313	191809	2503	298
314	200218	60	36
315	200569	253	104
316	201851	134	54
317	202557	59	43
318	202923	1	1
319	202936	95	55
320	203473	17	15
321	203606	262	42
322	204617	233	161
323	205960	48	32
324	206250	43	25
325	206502	129	49
326	207138	126	52
327	207801	167	26
328	208460	11	8
329	208539	3228	57
330	215638	20	10
331	215754	10	3
332	215805	299	10
333	216485	9	7
334	216553	221	40
335	217328	10	5
336	217386	73	28
337	217775	36	18
338	217992	9	7
339	218057	1	1
340	218069	255	84
341	219344	17	16
342	219463	1	1
343	219475	1	1
344	219487	500	113
345	221373	615	39
346	223198	1339	20
347	226144	114	24
348	226661	25	20
349	226847	42	22
350	227085	4	2
351	227111	131	38
352	227672	165	44
353	228363	6	5
354	228415	67	21
355	228736	36	26
356	228985	210	66
357	229938	36	16
358	230149	108	8
359	230616	17	6
360	230716	4	2
361	230745	77	31
